"trait","scenario","intercept","slope","R2"
"spawn","RCP 2.6",-66.44,0.04,0.1
"spawn","RCP 6.0",-254.6,0.13,0.53
"spawn","RCP 8.5",-449.43,0.23,0.8
"hatch","RCP 2.6",30.41,-0.02,0.03
"hatch","RCP 6.0",232.27,-0.12,0.55
"hatch","RCP 8.5",371.48,-0.19,0.74
"dpf","RCP 2.6",96.86,-0.05,0.14
"dpf","RCP 6.0",486.87,-0.25,0.76
"dpf","RCP 8.5",820.91,-0.41,0.88
