"contrast","estimate","SE","df","t.ratio","p.value","trait"
"RCP 2.6 - RCP 6.0",-1.77275132275134,0.637431677557967,184,-2.7810844442856,0.0164047265277061,"spawn"
"RCP 2.6 - RCP 8.5",-6.84799631459974,0.637431677557966,184,-10.7431063684108,3.08642000845794e-14,"spawn"
"RCP 6.0 - RCP 8.5",-5.07524499184841,0.637431677557967,184,-7.96202192412515,5.46229728115577e-13,"spawn"
"overall",NA,NA,NA,NA,2.34249853028468e-21,"spawn"
"overall",NA,NA,NA,NA,0.948691519824462,"hatch"
"RCP 2.6 - RCP 6.0",1.66014961870102,0.674230456622813,184,2.46228808324178,0.0389259776680368,"dpf"
"RCP 2.6 - RCP 8.5",6.77797939402979,0.674230456622813,184,10.052911919732,3.73034936274053e-14,"dpf"
"RCP 6.0 - RCP 8.5",5.11782977532877,0.674230456622813,184,7.59062383649017,4.66271465882073e-12,"dpf"
"overall",NA,NA,NA,NA,1.98936838840627e-19,"dpf"
