"date","layer.name","layer.depth_m","layer.temp_c"
1981-02-03,"cline_bottom",65.5,4.238
1981-02-03,"bottom",148.5,4.361
1981-02-04,"surface",0,4.116
1981-02-04,"cline_top",1.5,4.1225
1981-02-04,"cline_bottom",48.5,4.198
1981-02-04,"bottom",148.5,4.351
1981-02-05,"surface",0,4.086
1981-02-05,"cline_top",1.5,4.0995
1981-02-05,"cline_bottom",11.5,4.129
1981-02-05,"bottom",148.5,4.3395
1981-02-06,"surface",0,4.108
1981-02-06,"cline_top",1.5,4.1135
1981-02-06,"cline_bottom",14.5,4.1295
1981-02-06,"bottom",148.5,4.3185
1981-02-07,"surface",0,4.106
1981-02-07,"cline_top",1.5,4.1115
1981-02-07,"cline_bottom",42.5,4.162
1981-02-07,"bottom",148.5,4.3065
1981-02-08,"surface",0,4.132
1981-02-08,"cline_top",18.5,4.1365
1981-02-08,"cline_bottom",47.5,4.1665
1981-02-08,"bottom",148.5,4.3005
1981-02-09,"surface",0,4.101
1981-02-09,"cline_top",1.5,4.1205
1981-02-09,"cline_bottom",23.5,4.1455
1981-02-09,"bottom",148.5,4.297
1981-02-10,"surface",0,4.124
1981-02-10,"cline_top",1.5,4.132
1981-02-10,"cline_bottom",49.5,4.1665
1981-02-10,"bottom",148.5,4.2935
1981-02-11,"surface",0,4.042
1981-02-11,"cline_top",1.5,4.0655
1981-02-11,"cline_bottom",23.5,4.1425
1981-02-11,"bottom",148.5,4.2905
1981-02-12,"surface",0,4.012
1981-02-12,"cline_top",1.5,4.0375
1981-02-12,"cline_bottom",20.5,4.121
1981-02-12,"bottom",148.5,4.2875
1981-02-13,"surface",0,3.961
1981-02-13,"cline_top",1.5,3.9865
1981-02-13,"cline_bottom",31.5,4.1235
1981-02-13,"bottom",148.5,4.2845
1981-02-14,"surface",0,3.93
1981-02-14,"cline_top",1.5,3.955
1981-02-14,"cline_bottom",44.5,4.135
1981-02-14,"bottom",148.5,4.2825
1981-02-15,"surface",0,3.943
1981-02-15,"cline_top",1.5,3.9635
