date,layer.name,layer.depth_m,layer.temp_c
2/11/81,bottom,45.5,8.6835
2/12/81,surface,1,8.693
2/12/81,cline_top,2.5,8.7045
2/12/81,cline_bottom,26.5,8.7715
2/12/81,bottom,45.5,8.6835
2/13/81,surface,1,8.693
2/13/81,cline_top,2.5,8.7045
2/13/81,cline_bottom,26.5,8.7715
2/13/81,bottom,45.5,8.6835
2/14/81,surface,1,8.693
2/14/81,cline_top,2.5,8.7045
2/14/81,cline_bottom,26.5,8.7715
2/14/81,bottom,45.5,8.6835
2/15/81,surface,1,8.693
2/15/81,cline_top,2.5,8.7045
2/15/81,cline_bottom,26.5,8.7715
2/15/81,bottom,45.5,8.6835
2/16/81,surface,1,8.693
2/16/81,cline_top,2.5,8.7045
2/16/81,cline_bottom,26.5,8.7715
2/16/81,bottom,45.5,8.6835
2/17/81,surface,1,8.693
2/17/81,cline_top,2.5,8.7045
2/17/81,cline_bottom,26.5,8.7715
2/17/81,bottom,45.5,8.6835
2/18/81,surface,1,8.693
2/18/81,cline_top,2.5,8.7045
2/18/81,cline_bottom,26.5,8.7715
2/18/81,bottom,45.5,8.6835
2/19/81,surface,1,8.693
2/19/81,cline_top,2.5,8.7045
2/19/81,cline_bottom,26.5,8.7715
2/19/81,bottom,45.5,8.6835
2/20/81,surface,1,8.693
2/20/81,cline_top,2.5,8.7045
2/20/81,cline_bottom,26.5,8.7715
2/20/81,bottom,45.5,8.6835
2/21/81,surface,1,8.693
2/21/81,cline_top,2.5,8.7045
2/21/81,cline_bottom,26.5,8.7715
2/21/81,bottom,45.5,8.6835
2/22/81,surface,1,8.693
2/22/81,cline_top,2.5,8.7045
2/22/81,cline_bottom,26.5,8.7715
2/22/81,bottom,45.5,8.6835
2/23/81,surface,1,8.693
2/23/81,cline_top,2.5,8.7045
2/23/81,cline_bottom,26.5,8.7715
2/23/81,bottom,45.5,8.6835
2/24/81,surface,1,8.693
2/24/81,cline_top,2.5,8.7045
2/24/81,cline_bottom,26.5,8.7715
2/24/81,bottom,45.5,8.6835
2/25/81,surface,1,8.693
2/25/81,cline_top,2.5,8.7045
2/25/81,cline_bottom,26.5,8.7715
2/25/81,bottom,45.5,8.6835
2/26/81,surface,1,8.693
2/26/81,cline_top,2.5,8.7045
2/26/81,cline_bottom,26.5,8.7715
2/26/81,bottom,45.5,8.6835
2/27/81,surface,1,8.693
2/27/81,cline_top,2.5,8.7045
2/27/81,cline_bottom,26.5,8.7715
2/27/81,bottom,45.5,8.6835
2/28/81,surface,1,8.693
2/28/81,cline_top,2.5,8.7045
2/28/81,cline_bottom,26.5,8.7715
2/28/81,bottom,45.5,8.6835
3/1/81,surface,1,8.693
3/1/81,cline_top,2.5,8.7045
3/1/81,cline_bottom,26.5,8.7715
3/1/81,bottom,45.5,8.6835
3/2/81,surface,1,8.693
3/2/81,cline_top,2.5,8.7045
3/2/81,cline_bottom,26.5,8.7715
3/2/81,bottom,45.5,8.6835
3/3/81,surface,1,8.693
3/3/81,cline_top,2.5,8.7045
3/3/81,cline_bottom,26.5,8.7715
3/3/81,bottom,45.5,8.6835
3/4/81,surface,1,8.693
3/4/81,cline_top,2.5,8.7045
3/4/81,cline_bottom,26.5,8.7715
3/4/81,bottom,45.5,8.6835
3/5/81,surface,1,8.693
3/5/81,cline_top,2.5,8.7045
3/5/81,cline_bottom,26.5,8.7715
3/5/81,bottom,45.5,8.6835
3/6/81,surface,1,8.693
3/6/81,cline_top,2.5,8.7045
3/6/81,cline_bottom,26.5,8.7715
3/6/81,bottom,45.5,8.6835
3/7/81,surface,1,8.693
3/7/81,cline_top,2.5,8.7045
3/7/81,cline_bottom,26.5,8.7715
3/7/81,bottom,45.5,8.6835
3/8/81,surface,1,8.693
3/8/81,cline_top,2.5,8.7045
3/8/81,cline_bottom,26.5,8.7715
3/8/81,bottom,45.5,8.6835
3/9/81,surface,1,8.693
3/9/81,cline_top,2.5,8.7045
3/9/81,cline_bottom,26.5,8.7715
3/9/81,bottom,45.5,8.6835
3/10/81,surface,1,8.693
3/10/81,cline_top,2.5,8.7045
3/10/81,cline_bottom,26.5,8.7715
3/10/81,bottom,45.5,8.6835
3/11/81,surface,1,8.693
3/11/81,cline_top,2.5,8.7045
3/11/81,cline_bottom,26.5,8.7715
3/11/81,bottom,45.5,8.6835
3/12/81,surface,1,8.693
3/12/81,cline_top,2.5,8.7045
