lake,date,depth.m,temp.c
bourget,11/1/13,15,15.5
bourget,11/7/13,15,13.67
bourget,11/28/13,15,9.34
bourget,12/12/13,15,7.36
bourget,1/19/14,15,7.3
bourget,2/17/14,15,6.12
bourget,2/25/14,15,6.15
bourget,3/10/14,15,6.55
bourget,3/24/14,15,7.02
bourget,4/2/14,15,7.64
bourget,4/9/14,15,7.19
bourget,4/22/14,15,9.17
bourget,5/6/14,15,11.48
bourget,5/13/14,15,14.13
bourget,5/18/14,15,14.81
bourget,5/28/14,15,13.31
bourget,6/1/14,15,15.79
