lake,date,temp.c
bourget,11/1/13,15.5
bourget,11/7/13,13.67
bourget,11/28/13,9.34
bourget,12/12/13,7.36
bourget,1/19/14,7.3
bourget,2/17/14,6.12
bourget,2/25/14,6.15
bourget,3/10/14,6.55
bourget,3/24/14,7.02
bourget,4/2/14,7.64
bourget,4/9/14,7.19
bourget,4/22/14,9.17
bourget,5/6/14,11.48
bourget,5/13/14,14.13
bourget,5/18/14,14.81
bourget,5/28/14,13.31
bourget,6/1/14,15.79
