date,mature,ripe,spent,prop.ripe
11/2/15,20,0,0,0
11/3/15,30,0,0,0
11/4/15,20,0,0,0
11/5/15,29,0,0,0
11/6/15,19,0,0,0
11/7/15,28,0,0,0
11/8/15,20,0,0,0
11/9/15,14,0,0,0
11/10/15,19,0,0,0
11/11/15,30,0,0,0
11/12/15,39,0,0,0
11/13/15,20,0,0,0
11/14/15,9,0,0,0
11/15/15,31,0,0,0
11/16/15,20,0,0,0
11/17/15,19,0,0,0
11/18/15,20,0,0,0
11/19/15,9,0,1,0
11/21/15,10,0,0,0
11/22/15,20,0,0,0
11/23/15,19,0,0,0
11/24/15,19,0,0,0
11/26/15,20,0,0,0
11/1/16,0,7,0,1
11/2/16,0,9,0,1
11/7/16,0,29,0,1
11/8/16,0,27,0,1
11/10/16,0,20,0,1
11/11/16,0,10,0,1
11/13/16,0,10,0,1
11/14/16,0,29,0,1
11/15/16,0,28,0,1
11/16/16,0,19,0,1
11/17/16,0,30,0,1
11/18/16,0,20,0,1
11/20/16,0,10,0,1
11/21/16,0,30,0,1
11/22/16,0,10,0,1
11/23/16,0,29,0,1
11/24/16,0,12,0,1
11/7/19,7,0,0,0
11/8/19,6,0,0,0
11/9/19,4,0,0,0
11/10/19,4,0,0,0
11/11/19,17,0,0,0
11/12/19,10,0,0,0
11/13/19,8,0,0,0
11/15/19,10,0,0,0
11/16/19,7,0,0,0
11/17/19,7,0,0,0
11/18/19,8,0,0,0
11/19/19,6,0,0,0
11/23/19,1,0,0,0
11/26/19,2,0,0,0
